,Name,Rating TA,Rating Glovo,Cuisine Style TA,Cuisine Style Glovo,Number of Reviews TA,Number of Reviews Glovo
874,Caradura Mitre,80%,93%,[],['Burgers'],1,19
875,Bitte! Wurst,60%,94%,"['German', 'Fast Food']",['Mediterranean'],125,121
877,Foster's Hollywood,70%,92%,[],"['American', 'Burgers']",2,277
884,Creppy,70%,88%,"['Pizza', 'Italian']",['Pizza'],18,300
885,Indian Palace,70%,88%,"['Indian', 'Cafe']",['Indian'],3,138
886,Company Sushi,80%,91%,[],"['Asian', 'Japanese']",1,58
887,oishii sushi,60%,94%,"['Japanese', 'Sushi']","['Asian', 'Sushi']",85,70
888,The Lobster Roll Barcelona,60%,91%,['American'],['American'],6,95
889,Panchito,60%,84%,"['Latin', 'Spanish']",['Mexican'],20,128
894,KFC,60%,91%,"['American', 'Fast Food']","['American', 'Chicken']",19,168
899,Restaurante Ola,60%,95%,"['Chinese', 'Japanese']",['Japanese'],4,37
900,Aroma di Sicilia,60%,63%,[],"['Italian', 'Pizza']",3,156
901,Mochica,60%,92%,"['Peruvian', 'Latin']","['Latin American', 'Peruvian']",166,36
903,Telepizza,50%,95%,[],['Pizza'],3,319
907,La Piazzenza,60%,95%,"['Italian', 'Pizza']","['Italian', 'Pizza']",817,430
908,Yoshinoya-8,60%,89%,"['Japanese', 'Sushi']",['Japanese'],91,204
909,Restaurante Ciurana,60%,92%,"['Mediterranean', 'European']",['Mediterranean'],143,27
910,Sher-E-Punjab,60%,--,"['Indian', 'Asian']",['Indian'],103,19
911,TexMex & Co,60%,95%,['Mexican'],['Mexican'],27,198
912,Carpi Pizza,50%,92%,['Pizza'],['Pizza'],3,18
913,Restaurante Shanghai,60%,91%,[],['Asian'],7,264
914,TGB The Good Burger,60%,94%,['American'],"['American', 'Burgers']",20,456
917,Romanpizza,50%,97%,[],"['Italian', 'Pizza']",3,123
918,Tapa Tapa,50%,93%,['Spanish'],['Mediterranean'],4,22
919,Komeridiana,50%,90%,[],"['Latin American', 'Peruvian']",4,90
920,Miku Sushi,50%,97%,"['Japanese', 'Sushi']","['Japanese', 'Poke']",22,500+
921,Bar Restaurante Carlos III,20%,79%,"['Chinese', 'Japanese']",['Asian'],1,62
922,Sushi Fusion,50%,68%,"['Japanese', 'Sushi']","['Asian', 'Sushi']",13,39
923,Sushi Shop,50%,93%,"['Japanese', 'Sushi']","['Japanese', 'Poke']",116,500+
925,Wok Street,30%,93%,"['Chinese', 'Asian']",['Asian'],2,324
926,Kenko 2,50%,94%,"['Peruvian', 'Latin']",['Latin American'],110,12
927,Ribs,50%,91%,"['American', 'Barbecue']",['American'],169,183
929,Hotdoks,40%,96%,['Fast Food'],"['American', 'Burgers']",6,110
930,Grill Corner Splau,40%,--,['Mediterranean'],['Mediterranean'],5,74
931,Kenji Sushi Pro,40%,85%,"['Japanese', 'Sushi']","['Japanese', 'Sushi']",64,43
932,Pita House,30%,92%,['Spanish'],"['Arabic', 'Pizza']",874,119
934,Wok Chow Mein,90%,91%,"['Chinese', 'Asian']",['Asian'],5,58
935,Entre Tapes Meridiana,90%,82%,['Mediterranean'],"['Chicken', 'Mediterranean']",5,18
936,4 Pokes,100%,97%,['Hawaiian'],"['Poke', 'Vegan']",23,500+
938,Dan's Hot Dog,80%,92%,"['American', 'German']",['American'],15,38
